,Simple Random,Systematic Sampling,Stratified Sampling,Convenience Sampling,Cluster Sampling
XGB,0.9484536082474226,0.9895833333333334,0.9791666666666666,0.979381443298969,0.981651376146789
Logistic,0.8969072164948454,0.9270833333333334,0.8229166666666666,0.9175257731958762,0.8899082568807339
Random Forest,0.9896907216494846,1.0,0.9791666666666666,1.0,0.981651376146789
Decision Tree,0.979381443298969,0.9583333333333334,0.9791666666666666,0.979381443298969,0.981651376146789
KNN,0.6597938144329897,0.6458333333333334,0.65625,0.6701030927835051,0.9174311926605505
